ID,Sex,Age,Salary,Spending_Score,NewColumn,Customer_Satisfaction
1,1,19.0,15.0,,1,Unsatisfied
2,1,,15.0,81.0,1,Satisfied
3,0,20.0,16.0,6.0,1,Unsatisfied
4,0,23.0,,77.0,1,Satisfied
5,0,,,40.0,1,Unsatisfied
6,0,22.0,17.0,76.0,1,Satisfied
7,0,,18.0,6.0,1,Unsatisfied
8,0,23.0,18.0,94.0,1,Satisfied
9,1,64.0,19.0,3.0,1,Unsatisfied
10,0,30.0,19.0,72.0,1,Satisfied
11,1,67.0,19.0,14.0,1,Unsatisfied
12,0,35.0,19.0,99.0,1,Satisfied
13,0,58.0,20.0,15.0,1,Unsatisfied
14,0,24.0,20.0,77.0,1,Satisfied
15,1,37.0,20.0,13.0,1,Unsatisfied
16,1,22.0,20.0,79.0,1,Satisfied
17,0,35.0,21.0,35.0,1,Unsatisfied
18,1,20.0,21.0,66.0,1,Unsatisfied
19,1,52.0,23.0,29.0,1,Unsatisfied
20,0,35.0,23.0,98.0,1,Satisfied
21,1,35.0,24.0,35.0,1,Unsatisfied
22,1,25.0,24.0,73.0,1,Satisfied
23,0,46.0,25.0,5.0,1,Unsatisfied
24,1,31.0,25.0,73.0,1,Satisfied
25,0,54.0,28.0,14.0,1,Unsatisfied
26,1,29.0,28.0,82.0,1,Satisfied
27,0,45.0,28.0,32.0,1,Unsatisfied
28,1,35.0,28.0,61.0,1,Unsatisfied
29,0,40.0,29.0,31.0,1,Unsatisfied
30,0,23.0,29.0,87.0,1,Satisfied
31,1,60.0,30.0,4.0,1,Unsatisfied
32,0,21.0,30.0,73.0,1,Satisfied
33,1,53.0,33.0,4.0,1,Unsatisfied
34,1,18.0,33.0,92.0,1,Satisfied
35,0,49.0,33.0,14.0,1,Unsatisfied
36,0,21.0,33.0,81.0,1,Satisfied
37,0,42.0,34.0,17.0,1,Unsatisfied
38,0,30.0,34.0,73.0,1,Satisfied
39,0,36.0,37.0,26.0,1,Unsatisfied
40,0,20.0,37.0,75.0,1,Satisfied
41,0,65.0,38.0,35.0,1,Unsatisfied
42,1,24.0,38.0,92.0,1,Satisfied
43,1,48.0,39.0,36.0,1,Unsatisfied
44,0,31.0,39.0,61.0,1,Unsatisfied
45,0,49.0,39.0,28.0,1,Unsatisfied
46,0,24.0,39.0,65.0,1,Unsatisfied
47,0,50.0,40.0,55.0,1,Unsatisfied
48,0,27.0,40.0,47.0,1,Unsatisfied
49,0,29.0,40.0,42.0,1,Unsatisfied
50,0,31.0,40.0,42.0,1,Unsatisfied
51,0,49.0,42.0,52.0,1,Unsatisfied
52,1,33.0,42.0,60.0,1,Unsatisfied
53,0,31.0,43.0,54.0,1,Unsatisfied
54,1,59.0,43.0,60.0,1,Unsatisfied
55,0,50.0,43.0,45.0,1,Unsatisfied
56,1,47.0,43.0,41.0,1,Unsatisfied
57,0,51.0,44.0,50.0,1,Unsatisfied
58,1,69.0,44.0,46.0,1,Unsatisfied
59,0,27.0,46.0,51.0,1,Unsatisfied
60,1,53.0,46.0,46.0,1,Unsatisfied
61,1,70.0,46.0,56.0,1,Unsatisfied
62,1,19.0,46.0,55.0,1,Unsatisfied
63,0,67.0,47.0,52.0,1,Unsatisfied
64,0,54.0,47.0,59.0,1,Unsatisfied
65,1,63.0,48.0,51.0,1,Unsatisfied
66,1,18.0,48.0,59.0,1,Unsatisfied
67,0,43.0,48.0,50.0,1,Unsatisfied
68,0,68.0,48.0,48.0,1,Unsatisfied
69,1,19.0,48.0,59.0,1,Unsatisfied
70,0,32.0,48.0,47.0,1,Unsatisfied
71,1,70.0,49.0,55.0,1,Unsatisfied
72,0,47.0,49.0,42.0,1,Unsatisfied
73,0,60.0,50.0,49.0,1,Unsatisfied
74,0,60.0,50.0,56.0,1,Unsatisfied
75,1,59.0,54.0,47.0,1,Unsatisfied
76,1,26.0,54.0,54.0,1,Unsatisfied
77,0,45.0,54.0,53.0,1,Unsatisfied
78,1,40.0,54.0,48.0,1,Unsatisfied
79,0,23.0,54.0,52.0,1,Unsatisfied
80,0,49.0,54.0,42.0,1,Unsatisfied
81,1,57.0,54.0,51.0,1,Unsatisfied
82,1,38.0,54.0,55.0,1,Unsatisfied
83,1,67.0,54.0,41.0,1,Unsatisfied
84,0,46.0,54.0,44.0,1,Unsatisfied
85,0,21.0,54.0,57.0,1,Unsatisfied
86,1,48.0,54.0,46.0,1,Unsatisfied
87,0,55.0,57.0,58.0,1,Unsatisfied
88,0,22.0,57.0,55.0,1,Unsatisfied
89,0,34.0,58.0,60.0,1,Unsatisfied
90,0,50.0,58.0,46.0,1,Unsatisfied
91,0,68.0,59.0,55.0,1,Unsatisfied
92,1,18.0,59.0,41.0,1,Unsatisfied
93,1,48.0,60.0,49.0,1,Unsatisfied
